,Unnamed: 0,Player,Tm,season17_18
312,313,Kyle Anderson,SAS,2151704.0
313,314,D.J. Wilson,MIL,2135040.0
314,315,Matt Barnes,SAC,2133542.0
315,316,Derrick Rose,UTA,2116955.0
316,317,Marreese Speights,ORL,2116955.0
317,318,Michael Beasley,NYK,2116955.0
318,319,Aaron Brooks,MIN,2116955.0
319,320,Luc Mbah a Moute,HOU,2116955.0
320,321,JaVale McGee,GSW,2116955.0
321,322,Jeff Green,CLE,2116955.0
322,323,Tony Allen,CHI,2116955.0
323,324,Damien Wilkins,IND,2116955.0
324,325,Omri Casspi,GSW,2106470.0
325,326,Mario Chalmers,MEM,2106407.0
326,327,Darius Miller,NOP,2100000.0
327,328,Kelly Oubre,WAS,2093040.0
328,329,Juan Hernangomez,DEN,2076840.0
329,330,T.J. Leaf,IND,2028360.0
330,331,Tim Frazier,WAS,2000000.0
331,332,Anthony Tolliver,SAC,2000000.0
332,333,Terry Rozier,BOS,1988520.0
333,334,Luke Babbitt,MIA,1974159.0
334,335,John Collins,ATL,1936920.0
335,336,Anderson Varejao,POR,1913345.0
336,337,Rashad Vaughn,NOP,1889040.0
337,338,Tim Duncan,SAS,1881250.0
338,339,Wade Baldwin,MEM,1874400.0
339,340,Larry Sanders,MIL,1865547.0
340,341,Harry Giles,SAC,1859400.0
341,342,Sam Dekker,LAC,1794600.0
342,343,Terrance Ferguson,OKC,1785000.0
343,344,Henry Ellenson,DET,1780800.0
344,345,Eric Moreland,DET,1739333.0
345,346,Jerian Grant,CHI,1713840.0
346,347,Jarrett Allen,BRK,1713720.0
347,348,Mike Scott,WAS,1709538.0
348,349,Tyler Zeller,MIL,1709538.0
349,350,Quincy Acy,BRK,1709538.0
350,351,Malik Beasley,DEN,1700640.0
351,352,Mike Dunleavy,ATL,1662500.0
352,353,Delon Wright,TOR,1645200.0
353,354,OG Anunoby,TOR,1645200.0
354,355,Ante Zizic,CLE,1645200.0
355,356,Caris LeVert,BRK,1632480.0
356,357,Justin Anderson,PHI,1579440.0
357,358,Tyler Lydon,DEN,1579440.0
358,359,Jeff Withey,DAL,1577320.0
359,360,Ian Clark,NOP,1577230.0
360,361,Shabazz Muhammad,MIN,1577230.0
361,362,Willie Reed,CHI,1577230.0
362,363,DeAndre Liggins,MIL,1577230.0
363,364,DeAndre' Bembry,ATL,1567200.0
364,365,Joffrey Lauvergne,SAS,1524305.0
365,366,Jerami Grant,OKC,1524305.0
366,367,Johnny O'Bryant,NYK,1524305.0
367,368,Tyler Ennis,LAL,1524305.0
368,369,Julyan Stone,CHO,1524305.0
369,370,Sean Kilpatrick,BRK,1524305.0
370,371,Joe Harris,BRK,1524305.0
371,372,Spencer Dinwiddie,BRK,1524305.0
372,373,Shane Larkin,BOS,1524305.0
373,374,Glenn Robinson,IND,1524305.0
374,375,Bobby Brown,HOU,1524305.0
375,376,Bobby Portis,CHI,1516320.0
376,377,Malachi Richardson,TOR,1504560.0
377,378,Arron Afflalo,SAC,1500000.0
378,379,Norman Powell,TOR,1471382.0
379,380,Josh Richardson,MIA,1471382.0
380,381,Rondae Hollis-Jefferson,BRK,1471382.0
381,382,Tyus Jones,MIN,1471382.0
382,383,Jarell Martin,MEM,1471382.0
383,384,Larry Nance,CLE,1471382.0
384,385,Troy Williams,HOU,1471382.0
385,386,Chris McCullough,WAS,1471382.0
386,387,Raul Neto,UTA,1471382.0
387,388,Pat Connaughton,POR,1471382.0
388,389,Richaun Holmes,PHI,1471382.0
389,390,T.J. McConnell,PHI,1471382.0
390,391,Josh Huestis,OKC,1471382.0
391,392,Jordan Mickey,MIA,1471382.0
392,393,Montrezl Harrell,LAC,1471382.0
393,394,Joe Young,IND,1471382.0
394,395,Kevon Looney,GSW,1471382.0
395,396,Nikola Jokic,DEN,1471382.0
396,397,Salah Mejri,DAL,1471382.0
397,398,Caleb Swanigan,POR,1465920.0
398,399,Furkan Korkmaz,PHI,1465920.0
399,400,Willy Hernangomez,CHO,1435750.0
400,401,Kyle Kuzma,LAL,1423560.0
401,402,Tony Bradley,UTA,1414920.0
402,403,Derrick White,SAS,1404600.0
403,404,Josh Hart,LAL,1394520.0
404,405,Timothe Luwawu-Cabarrot,PHI,1386600.0
405,406,Kevin Martin,MIN,1360305.0
406,407,Brice Johnson,MEM,1331160.0
407,408,Pascal Siakam,TOR,1312611.0
408,409,Dejounte Murray,SAS,1312611.0
409,410,Skal Labissiere,SAC,1312611.0
410,411,A.J. Hammons,MIA,1312611.0
411,412,Deyonta Davis,MEM,1312611.0
412,413,Chinanu Onuaku,HOU,1312611.0
413,414,Damian Jones,GSW,1312611.0
414,415,Wayne Selden,MEM,1312611.0
415,416,Cheick Diallo,NOP,1312611.0
416,417,Joel Bolomboy,UTA,1312611.0
417,418,Davis Bertans,SAS,1312611.0
418,419,Bryn Forbes,SAS,1312611.0
419,420,Jake Layman,POR,1312611.0
420,421,Tyler Ulis,PHO,1312611.0
421,422,Marcus Georges-Hunt,MIN,1312611.0
422,423,Malcolm Brogdon,MIL,1312611.0
423,424,Rodney McGruder,MIA,1312611.0
424,425,Andrew Harrison,MEM,1312611.0
425,426,Ivica Zubac,LAL,1312611.0
426,427,Patrick McCaw,GSW,1312611.0
427,428,Dorian Finney-Smith,DAL,1312611.0
428,429,Yogi Ferrell,DAL,1312611.0
429,430,Treveon Graham,CHO,1312611.0
430,431,David Nwaba,CHI,1312611.0
431,432,Paul Zipser,CHI,1312611.0
432,433,Isaiah Whitehead,BRK,1312611.0
433,434,Sheldon Mac,ATL,1312611.0
434,435,Okaro White,ATL,1312611.0
435,436,Nicolas Brussino,ATL,1312611.0
436,437,Diamond Stone,ATL,1312611.0
437,438,Isaiah Taylor,ATL,1312611.0
438,439,Kay Felder,CHI,1312611.0
439,440,Fred VanVleet,TOR,1312611.0
440,441,Derrick Jones,PHO,1312611.0
441,442,Chasson Randle,NYK,1312611.0
442,443,Stephen Zimmerman,LAL,1312611.0
443,444,Semi Ojeleye,BOS,1291892.0
444,445,Frank Mason,SAC,1184385.0
445,446,Abdel Nader,BOS,1167333.0
446,447,Damyean Dotson,NYK,1100000.0
447,448,Paul Pierce,LAC,1096080.0
448,449,Isaiah Canaan,PHO,1069308.0
449,450,Wesley Iwundu,ORL,1050000.0
450,451,Livio Jean-Charles,SAS,1035200.0
451,452,Justin Hamilton,TOR,1000000.0
452,453,Gerald Henderson,PHI,1000000.0
453,454,Rade Zagorac,MEM,950000.0
454,455,Ivan Rabb,MEM,950000.0
455,456,Ike Anigbogu,IND,950000.0
456,457,Gerald Green,HOU,947248.0
457,458,Jason Thompson,GSW,945126.0
458,459,Martell Webster,WAS,830000.0
459,460,Frank Jackson,NOP,815615.0
460,461,Jordan Bell,GSW,815615.0
461,462,Dakari Johnson,OKC,815615.0
462,463,Sterling Brown,MIL,815615.0
463,464,Dillon Brooks,MEM,815615.0
464,465,Jawun Evans,LAC,815615.0
465,466,Sindarius Thornwell,LAC,815615.0
466,467,Dwayne Bacon,CHO,815615.0
467,468,Tyler Dorsey,ATL,815615.0
468,469,Davon Reed,PHO,815615.0
469,470,Royce O'Neale,UTA,815615.0
470,471,Alfonzo McKinnie,TOR,815615.0
471,472,Brandon Paul,SAS,815615.0
472,473,Khem Birch,ORL,815615.0
473,474,Thomas Bryant,LAL,815615.0
474,475,Zhou Qi,HOU,815615.0
475,476,Maxi Kleber,DAL,815615.0
476,477,Daniel Theis,BOS,815615.0
477,478,Sean Kilpatrick,MIL,789725.0
478,479,Trey Burke,NYK,784160.0
479,480,Alex Poythress,IND,778668.0
480,481,Marco Belinelli,PHI,776217.0
481,482,Joe Johnson,HOU,749905.0
482,483,Dwight Buycks,DET,748160.0
483,484,Tyler Cavanaugh,ATL,679919.0
484,485,Carlos Delfino,LAC,650000.0
485,486,Caron Butler,SAC,517220.0
486,487,Jordan Farmar,LAC,510921.0
487,488,Ersan Ilyasova,PHI,502328.0
488,489,Leandro Barbosa,PHO,500000.0
489,490,Tibor Pleiss,PHI,500000.0
490,491,Michael Gbinije,DET,500000.0
491,492,Aaron Gray,DET,452059.0
492,493,Festus Ezeli,POR,333334.0
493,494,C.J. Watson,ORL,333334.0
494,495,Gal Mekel,DAL,315760.0
495,496,Miroslav Raduljica,LAC,300000.0
496,497,Cameron Oliver,HOU,300000.0
497,498,Ramon Sessions,WAS,263124.0
498,499,Jordan Crawford,NOP,250000.0
499,500,Emeka Okafor,NOP,239204.0
500,501,Wade Baldwin,POR,222476.0
501,502,Isaiah Canaan,CHI,200000.0
502,503,Rakeem Christmas,IND,172552.0
503,504,DeAndre Liggins,NOP,172238.0
504,505,Sean Kilpatrick,LAC,172238.0
505,506,Rashad Vaughn,ORL,166258.0
506,507,Troy Williams,NYK,148318.0
507,508,Travis Wear,LAL,148318.0
508,509,Carrick Felix,WAS,140902.0
509,510,Brandon Rush,POR,119602.0
510,511,Brandon Jennings,MIL,119010.0
511,512,Derrick Williams,LAL,104059.0
512,513,K.J. McDaniels,TOR,100000.0
513,514,Marshall Plumlee,NYK,100000.0
514,515,Georges Niang,IND,100000.0
515,516,Quinn Cook,ATL,100000.0
516,517,Demetrius Jackson,BOS,92858.0
517,518,Kyle Collinsworth,DAL,92160.0
518,519,Josh Gray,PHO,92160.0
519,520,Naz Mitrou-Long,UTA,92160.0
520,521,Shaquille Harrison,PHO,92160.0
521,522,"Walt Lemon, Jr.",NOP,92160.0
522,523,Antonius Cleveland,ATL,92160.0
523,524,Jaylen Morris,ATL,92160.0
524,525,Mike James,PHO,87552.0
525,526,Jarell Eddie,BOS,83129.0
526,527,Jarell Eddie,CHI,83129.0
527,528,Briante Weber,MEM,83129.0
528,529,Demetrius Jackson,HOU,74159.0
529,530,Georgios Papagiannis,POR,74159.0
530,531,Larry Drew,NOP,74159.0
531,532,Scotty Hopson,DAL,74159.0
532,533,Isaiah Canaan,HOU,53465.0
533,534,Tyler Cavanaugh,ATL,50000.0
534,535,Kyle Collinsworth,DAL,50000.0
535,536,Demetrius Jackson,HOU,50000.0
536,537,Daniel Ochefu,WAS,50000.0
537,538,Michael Young,WAS,50000.0
538,539,Nate Wolters,UTA,50000.0
539,540,Naz Mitrou-Long,UTA,50000.0
540,541,Eric Griffin,UTA,50000.0
541,542,Jacob Pullen,PHI,50000.0
542,543,James Michael McAdoo,PHI,50000.0
543,544,Nigel Hayes,NYK,50000.0
544,545,Jalen Moore,MIL,50000.0
545,546,Gary Payton,MIL,50000.0
546,547,Matt Williams,MIA,50000.0
547,548,Vince Hunter,MEM,50000.0
548,549,Vander Blue,LAL,50000.0
549,550,V.J. Beachem,LAL,50000.0
550,551,Briante Weber,LAL,50000.0
551,552,Jamil Wilson,LAC,50000.0
552,553,Briante Weber,HOU,50000.0
553,554,Luis Montero,DET,50000.0
554,555,Gian Clavell,DAL,50000.0
555,556,Antonius Cleveland,DAL,50000.0
556,557,Diamond Stone,CHI,50000.0
557,558,Yakuba Ouattara,BRK,50000.0
558,559,Jeremy Evans,ATL,50000.0
559,560,Nigel Hayes,LAL,46080.0
560,561,Nigel Hayes,TOR,46080.0
561,562,Rodney Purvis,ORL,46080.0
562,563,Xavier Rathan-Mayes,MEM,46080.0
563,564,Trey McKinney-Jones,IND,46080.0
564,565,Jameel Warney,DAL,46080.0
565,566,Marcus Thornton,CLE,46080.0
566,567,DeAndre Liggins,ATL,26773.0
567,568,Axel Toupane,NOP,25000.0
568,569,Quinn Cook,NOP,25000.0
569,570,Chris Johnson,HOU,25000.0
570,571,Beno Udrih,DET,25000.0
571,572,Joel Bolomboy,MIL,22248.0
572,573,Jarell Eddie,CHI,17224.0
