,Year,Player,Pos,Age,G,PER,MPG,PPG,APG,RPG,TOPG,BPG,SPG,salary17_18
35,2017.0,Marco Belinelli,SG,30.0,74.0,13.3,24.027027027027028,10.54054054054054,1.9864864864864864,2.4054054054054053,0.9459459459459459,0.12162162162162163,0.5945945945945946,6.30606
36,2017.0,Marco Belinelli,SG,30.0,74.0,13.3,24.027027027027028,10.54054054054054,1.9864864864864864,2.4054054054054053,0.9459459459459459,0.12162162162162163,0.5945945945945946,0.776217
37,2017.0,DeAndre' Bembry,SF,22.0,38.0,8.8,9.763157894736842,2.6578947368421053,0.7368421052631579,1.5526315789473684,0.42105263157894735,0.13157894736842105,0.21052631578947367,1.5672
38,2017.0,Dragan Bender,PF,19.0,43.0,5.3,13.348837209302326,3.395348837209302,0.5348837209302325,2.395348837209302,0.7441860465116279,0.5116279069767442,0.23255813953488372,4.4688
39,2017.0,Davis Bertans,PF,24.0,67.0,12.9,12.059701492537313,4.522388059701493,0.6865671641791045,1.4776119402985075,0.47761194029850745,0.417910447761194,0.29850746268656714,1.312611
40,2017.0,Patrick Beverley,SG,28.0,67.0,13.0,30.71641791044776,9.537313432835822,4.1940298507462686,5.880597014925373,1.492537313432836,0.373134328358209,1.4776119402985075,5.513514
41,2017.0,Bismack Biyombo,C,24.0,81.0,12.2,22.135802469135804,5.962962962962963,0.9135802469135802,7.0,1.1728395061728396,1.123456790123457,0.30864197530864196,17.0
42,2017.0,Nemanja Bjelica,PF,28.0,65.0,11.0,18.307692307692307,6.2,1.2153846153846153,3.753846153846154,0.9076923076923077,0.3076923076923077,0.6153846153846154,3.949999
43,2017.0,Tarik Black,C,25.0,67.0,15.0,16.28358208955224,5.7164179104477615,0.582089552238806,5.104477611940299,0.8656716417910447,0.6567164179104478,0.44776119402985076,3.29
44,2017.0,Eric Bledsoe,PG,27.0,66.0,20.6,32.96969696969697,21.060606060606062,6.333333333333333,4.848484848484849,3.378787878787879,0.4696969696969697,1.393939393939394,14.5
45,2017.0,Bojan Bogdanovic,SF,27.0,81.0,13.5,25.71604938271605,13.74074074074074,1.3703703703703705,3.419753086419753,1.6049382716049383,0.08641975308641975,0.41975308641975306,10.5
46,2017.0,Andrew Bogut,C,32.0,27.0,9.3,21.59259259259259,2.925925925925926,1.8148148148148149,8.074074074074074,1.5925925925925926,0.9259259259259259,0.48148148148148145,2.328652
